Unnamed: 0,doy,s1_vv,s1_vh,s2_ndvi,s2_ndwi,s2_mndwi,flood_drain_franc,planting_franc,sown,flood_cat,y_ph,y_fd
0,34,-7.810553796220276,-16.28769012257527,0.0102816453072706,-0.0225262056934198,0.0113874378288682,,,,,,
1,36,-6.949749620061028,-15.848613656774104,-0.0145846228920769,-0.0097166325882961,0.0634401981999151,,,,,,
2,39,-5.658543355822156,-15.189998958072357,0.0873181671200461,-0.0927347478460515,-0.151145194401535,,,,,,
3,41,-7.396729483329625,-15.033060944399868,0.0030876432841553,-0.0369363752585147,0.0412215075045111,,,,2.0,,
4,44,-10.439352978588404,-16.56044339635673,-0.0265000368893602,-0.0015104593036672,0.0736687461423391,0.9230769230769232,,,2.0,,
5,46,-11.18697348915974,-17.942366810345657,0.0220981302740524,0.0334398017393838,0.1259053517046736,0.7692307692307692,1.0185185185185186,,1.0,,
6,49,-12.118782101366223,-19.890963703219267,0.0035987186837088,0.042866167081984,0.1843515011603725,0.5384615384615384,0.9907407407407408,0.0,1.0,,
7,51,-12.73998784283721,-21.19002829846834,-0.00378419743538,-0.0248075355143393,-0.0124000528408459,0.3846153846153846,0.9722222222222222,0.0,1.0,,
8,54,-9.322285770383662,-18.8339013725205,-0.03086542835829,0.004273083599364,0.1954237430559512,0.1538461538461538,0.9444444444444444,0.0,0.0,,
9,56,-10.858359097828531,-20.00302426883849,-0.0019201841423705,-0.031709634359164,0.0506997703187011,0.0,0.925925925925926,0.0,0.0,,
10,59,-11.947678444755711,-20.326948787556407,-0.0078862045451616,-0.0248364230062236,0.1485224299209749,,0.8981481481481481,0.0,2.0,,
11,61,-12.26896112796046,-20.066311858115323,0.0047041943300635,-0.0505266437922413,0.0840001358106685,0.9666666666666668,0.8796296296296297,0.0,2.0,,
12,64,-12.75088515276758,-19.67535646395369,-0.0131313532267213,-0.0276362880231579,-0.0057843215325553,0.8666666666666667,0.8518518518518519,0.0,1.0,,
13,69,-11.79292040109895,-22.66096765618161,-0.0090207829458667,-0.0328800215901206,0.0334206903154545,0.7,0.8055555555555556,0.0,1.0,,
14,71,-11.663373839914996,-22.36557126234303,0.1312832420484027,-0.0669172721802092,0.0858322180627164,0.6333333333333333,0.787037037037037,0.0,1.0,,
15,74,-11.469053998139064,-21.922476671585148,0.0007643027065743,-0.054904039090617,0.0467473590980483,0.5333333333333333,0.7592592592592593,0.0,1.0,,
16,76,-11.339507436955111,-21.62708027774656,0.0049655128698938,-0.0526518010365003,-0.0282512196550644,0.4666666666666667,0.7407407407407407,0.0,1.0,,
17,79,-9.526459984043562,-19.846650466499,0.0179582977431199,-0.0299664771965216,-0.0146659128479194,0.3666666666666667,0.712962962962963,0.0,1.0,,
18,81,-9.165353954430552,-22.76034155753617,0.0132322440230326,-0.0757178660083571,0.0888894327488024,0.3,0.6944444444444444,0.0,1.0,,
19,84,-8.685776867164604,-20.235503200779284,0.0283531964250211,-0.08256793338151,-0.0327380647318323,0.1999999999999999,0.6666666666666667,0.0,1.0,1.0,
20,86,-8.366058808987304,-18.552277629608025,0.0367466083518578,-0.068414798703176,-0.0788562092834802,0.1333333333333333,0.6481481481481481,0.0,1.0,0.9859154929577465,
21,89,-7.856373591542866,-16.622785511637986,0.0433825966626143,-0.0584893911197374,0.0328686479113909,0.0333333333333333,0.6203703703703703,0.0,0.0,0.971830985915493,
22,91,-8.533361230021617,-16.387729840025152,-0.0063786124356948,-0.0398524025198392,0.0186248287431124,,0.6018518518518519,0.0,0.0,0.9577464788732395,
23,94,-10.17353045225283,-16.423294746438398,0.0012097602582482,-0.0275500112849724,0.1453304555135968,,0.5740740740740741,0.0,2.0,0.9436619718309859,
24,96,-9.986049705731691,-16.449581058521133,0.2096164779548439,-0.1766815919737444,-0.0996719753383366,1.0,0.5555555555555556,0.0,2.0,0.9295774647887324,
25,99,-9.704828585949986,-16.489010526645234,0.0202149047731271,-0.0585714337909884,0.0210411295565985,0.9210526315789472,0.5277777777777778,0.0,1.0,0.9154929577464789,
26,101,-8.700860597589193,-16.393246587718934,0.010262786603313,-0.0594942818411524,-0.0136620504873131,0.868421052631579,0.5092592592592593,0.0,1.0,0.9014084507042254,
27,104,-9.088082837407988,-18.39026713547205,0.2957439052826166,-0.2086398700794028,0.0539936911563363,0.7894736842105263,0.4814814814814815,0.0,1.0,0.8873239436619719,
28,106,-9.625380230062492,-19.077232765215864,-0.0235595328577483,-0.0142534683697897,0.3039635959119784,0.736842105263158,0.4629629629629629,0.0,1.0,0.8732394366197183,
29,109,-9.291097625647472,-17.979238190366097,0.5500899930561355,-0.4239932799652104,-0.1877861316958143,0.6578947368421053,0.4351851851851852,0.0,1.0,0.8591549295774648,
30,111,-9.068242556037458,-17.247241807132923,0.09260525654212,-0.0766388337306278,-0.0133512330371026,0.6052631578947368,0.4166666666666666,0.0,1.0,0.8450704225352113,
31,114,-7.876520309795507,-18.035930287255223,0.3922459400633134,-0.2516814442340572,0.1105005587355343,0.5263157894736843,0.3888888888888888,0.0,1.0,0.8309859154929577,
32,116,-8.930633855893985,-17.899188021075837,0.0178517108694557,-0.0318619881216657,0.0987769052138096,0.4736842105263158,0.3703703703703703,0.0,1.0,0.8169014084507042,
33,119,-9.695485777189582,-17.519143016748746,0.3239146708737996,-0.2167370603397296,0.1040758215748832,0.3947368421052631,0.3425925925925925,0.0,1.0,0.8028169014084507,
34,121,-9.93328092543594,-17.207469145511354,0.0052080181984718,-0.0228693237902576,0.1804912481686518,0.3421052631578947,0.324074074074074,0.0,1.0,0.7887323943661972,1.0
35,124,-10.289973647805478,-16.73995833865526,-0.0038491702014478,-0.0183583780727389,0.2651140673007731,0.2631578947368421,0.2962962962962963,0.0,1.0,0.7746478873239436,0.9767441860465116
36,126,-9.881468109744976,-15.936396631787735,0.2281320700473982,-0.1748534882556889,0.0589611797127488,0.2105263157894736,0.2777777777777778,0.0,1.0,0.7605633802816901,0.9534883720930233
37,129,-9.2808305466253,-17.24506684269825,-0.0359443199265994,0.0045738585208194,0.2263705543277564,0.131578947368421,0.25,0.0,1.0,0.7464788732394366,0.9302325581395349
38,131,-8.908249288878707,-17.154965336897135,0.0245248861575809,-0.0494343280217178,-0.0321211683090556,0.0789473684210526,0.2314814814814815,0.0,1.0,0.732394366197183,0.9069767441860466
39,134,-8.349377402258819,-17.01981307819546,0.3711705377171848,-0.3003882242928442,-0.0283275026475121,0.0,0.2037037037037037,0.0,0.0,0.7183098591549295,0.8837209302325582
40,136,-7.976796144512225,-16.929711572394346,0.634323328147445,-0.482772125154339,-0.271950616215825,,0.1851851851851852,0.0,0.0,0.704225352112676,0.8604651162790697
41,139,-8.782163304151766,-15.287025539614731,0.5423110878709763,-0.4184540609705742,-0.2111814229961772,,0.1574074074074074,0.0,,0.6901408450704225,0.8372093023255813
42,141,-7.4404702824808675,-18.26037673612333,0.0055784090611886,-0.0223131168756246,0.6805808507864854,,0.1388888888888888,0.0,,0.676056338028169,0.813953488372093
43,144,-7.950211079762701,-17.310494136258317,0.405518287060674,-0.3145839563436466,-0.1214804995958126,,0.1111111111111111,0.0,,0.6619718309859155,0.7906976744186047
44,146,-8.29003827795059,-16.677239069681637,0.5290717623208049,-0.4051905766473022,-0.2321436311268677,,0.0925925925925925,0.0,,0.647887323943662,0.7674418604651163
45,149,-8.548128847597848,-15.519701113660766,-0.0298143191890665,0.0116622893857564,0.2543098238865666,,0.0648148148148147,0.0,,0.6338028169014085,0.7441860465116279
46,151,-8.563590371932873,-15.862751966893882,0.0071835065153668,-0.0251130472735361,0.6483405758121441,,0.0462962962962962,0.0,,0.619718309859155,0.7209302325581395
47,154,-9.166834557699271,-18.17237658873266,0.1218139571720475,-0.0659503209611701,0.1778510174891659,,0.0185185185185184,0.0,,0.6056338028169014,0.6976744186046512
48,156,-9.984530317729437,-19.32229086170099,0.3699642614341477,-0.2729462184575276,-0.0618054769083109,,0.0,0.0,,0.5915492957746479,0.6744186046511628
49,159,-11.211073957774689,-21.04716227115348,0.0312137709409608,-0.0407049972253406,-0.0009194944677098,,,,,0.5774647887323944,0.6511627906976745
50,161,-10.905786123959867,-20.65756780116501,0.0979565400788045,-0.0755772990625393,0.1393489845480871,,,,,0.5633802816901408,0.627906976744186
51,164,-11.405759930627587,-19.942056086585,-0.0010138666299092,-0.0099503025512459,0.1256589724580581,,,,,0.5492957746478873,0.6046511627906976
52,166,-11.689040392121388,-20.24754634136495,0.0289524561361136,-0.0558679886036236,-0.0445716019721531,,,,,0.5352112676056338,0.5813953488372093
53,169,-10.717717495856354,-20.790457267865875,0.0108543512423987,-0.0272668201720507,0.6062949481355839,,,,,0.5211267605633803,0.5581395348837209
54,171,-10.07016889834633,-21.15239788553316,0.1030142500395113,-0.0928620085280008,0.0930996961804096,,,,,0.5070422535211268,0.5348837209302326
55,174,-11.563359641099074,-20.0479756727229,0.0318109572291993,-0.0331793543336306,0.2381227938219013,,,,,0.49295774647887325,0.5116279069767442
56,176,-13.705688520835547,-21.75049901943021,0.2172746364557496,-0.1640476124011591,-0.0806067191673048,,,,,0.47887323943661975,0.4883720930232558
57,179,-13.989659650208464,-22.72930780376715,0.1903121182682569,-0.1505545085357006,-0.0041061767275663,,,,,0.46478873239436613,0.4651162790697675
58,181,-13.202466339713142,-22.856854914750425,0.1274669958910515,-0.1039506646357124,0.1014177762730881,,,,,0.45070422535211263,0.4418604651162791
59,184,-12.021676373970164,-23.048175581225344,0.0506137504358911,-0.0131192746525685,0.1257771236218238,,,,,0.43661971830985913,0.41860465116279066
60,186,-12.102900074055023,-23.17117062370702,0.2008242234773084,-0.1401178713485593,-0.0180894101190852,,,,,0.4225352112676056,0.39534883720930236
61,189,-12.22473562418232,-23.35566318742953,0.1382747004855886,-0.0974380496008898,0.0744850851425042,,,,,0.4084507042253521,0.37209302325581395
62,191,-12.558631211095904,-22.484204351485936,-0.0052056976025911,-0.0124188077931831,0.2412284284138093,,,,,0.3943661971830986,0.34883720930232553
63,194,-13.059474591466282,-21.177016097570537,0.0256749589797393,-0.0368617598150829,0.4059179840256633,,,,,0.380281690140845,0.32558139534883723
64,196,-13.393370178379866,-20.305557261626937,0.2549277928074192,-0.1626893632782169,0.0363405349564225,,,,,0.3661971830985915,0.3023255813953488
65,199,-9.344219483672555,-19.01092092706204,0.0365875796453506,-0.0347726019321873,0.1579669329304842,,,,,0.352112676056338,0.2790697674418605
66,201,-9.8149459727938,-19.810818247978705,0.0152049237663103,-0.0238626828297924,0.46501076352884,,,,,0.3380281690140845,0.2558139534883721
67,204,-9.878676357405713,-20.058119838413283,0.1022735210772576,-0.0992365971793551,0.0062504605628145,,,,,0.323943661971831,0.2325581395348837
68,206,-9.921163280480323,-20.22298756536967,0.0365324946709199,-0.0391944238580475,0.4138356874081562,,,,,0.3098591549295775,0.2093023255813954
69,209,-9.170658797800346,-18.73178858402609,-0.0130354299250966,-0.0045985464180582,0.4367418633053447,,,,,0.2957746478873239,0.18604651162790697
70,211,-8.65044351774093,-17.33599362607479,0.4573118439049649,-0.3280918694229386,-0.0719405829625947,,,,,0.2816901408450704,0.16279069767441867
71,214,-9.349859567686565,-17.398744875184153,0.055017003156398,-0.0588707565080226,0.2075033565446943,,,,,0.2676056338028169,0.13953488372093026
72,216,-9.657587164797157,-16.483160372008232,0.0079771050873087,-0.0221899162311173,0.6036883005823226,,,,,0.2535211267605634,0.11627906976744184
73,219,-10.119178560463048,-15.109783617244346,0.6716539738003542,-0.5189373006461199,-0.2727268601783739,,,,,0.23943661971830987,0.09302325581395354
74,221,-10.083936081314356,-16.35489002290349,0.5079470927059574,-0.3976859293136591,-0.1698342209803181,,,,,0.22535211267605637,0.06976744186046513
75,224,-9.978697179504524,-15.984484092182964,0.6588818318533823,-0.5175685307399329,-0.2632933618529728,,,,,0.21126760563380276,0.046511627906976716
76,226,-9.796666838350657,-15.359146240947588,0.6235285176473315,-0.4889930730216211,-0.2471048545974574,,,,,0.19718309859154926,0.023255813953488413
77,229,-9.12477475104781,-16.593089569192905,0.4136697619536249,-0.3392394260211013,-0.0557147050308869,,,,,0.18309859154929575,0.0
78,231,-8.676846692845913,-17.415718454689785,0.0842022162165912,-0.08510914703631,0.2350705221510614,,,,,0.16901408450704225,
79,234,-8.659891977435516,-17.119875309786778,0.0422040153109459,-0.0553249403534336,0.5168878382871267,,,,,0.15492957746478875,
80,236,-9.94812604103969,-17.499635038399294,0.5606253849053651,-0.4350229740679626,-0.1325698602812422,,,,,0.14084507042253525,
81,239,-10.404942196193549,-16.95566059564686,0.1052836793126924,-0.0993769455819692,0.2878252025261231,,,,,0.12676056338028163,
82,241,-10.21764131954532,-16.221806288588176,0.0778419249213658,-0.0737851100412014,0.0817147209116273,,,,,0.11267605633802813,
83,244,-9.93669000457298,-15.121024828000143,0.0102440453609076,-0.0203362334615582,0.3055005273418199,,,,,0.09859154929577463,
84,246,-9.684808929415006,-13.788124237379364,-0.0175249846673036,-0.0052976322659103,0.2682627768357409,,,,,0.08450704225352113,
85,249,-9.979696462400282,-18.107344446762365,0.6505761170673412,-0.5043735413703411,-0.2025305469124441,,,,,0.07042253521126762,
86,251,-9.402279872906076,-17.6592846739634,0.6698255167312089,-0.5285091126899665,-0.27762101921042,,,,,0.05633802816901401,
87,254,-8.536154988664766,-16.987195014764946,0.005272369153551,-0.0229117058425816,0.6038816659882327,,,,,0.04225352112676051,
88,256,-7.958738399170559,-16.53913524196598,0.2968030481494138,-0.2329401870423681,-0.0496267425696424,,,,,0.028169014084507005,
89,259,-10.935078074413074,-16.568128948375996,0.5420013205328587,-0.4170076184213677,-0.1539337238438077,,,,,0.014084507042253502,
90,261,-10.639582915562352,-16.64958880252081,0.2162149714978732,-0.1853147188281314,-0.0948033486178907,,,,,0.0,
91,264,-10.672663901514657,-16.610656777221298,0.5563104632066572,-0.4411265885394914,-0.2227646620457719,,,,,,
92,266,-10.694717892149525,-16.584702093688293,0.5274438812522254,-0.4257715076759527,-0.2318402929075913,,,,,,
93,269,-11.036550037672637,-16.08956823781706,0.4383517161493098,-0.3473328696749478,-0.1656322185446527,,,,,,
94,271,-10.153329650605684,-15.628386162115437,0.4124059309204475,-0.3274625065528158,-0.1747163401549414,,,,,,
95,274,-7.900118903790613,-15.10238579062618,0.4196197385942033,-0.3748826141571698,-0.2772325240986439,,,,,,
96,276,-8.205691577981247,-14.018396661101251,0.009976984614873,-0.0229482972260168,0.5811360365114604,,,,,,
97,279,-8.664050589267196,-12.392412966813858,0.0515610119428544,-0.0421806012101262,0.2052509656788818,,,,,,
98,281,-8.747319114819051,-12.190548965745156,-0.0024594657027131,-0.0142704209088009,0.7002582324757344,,,,,,
99,284,-7.253309110271423,-14.707782694035112,0.2047178131257875,-0.0825404270831311,0.2008684544783606,,,,,,
100,286,-6.7053245466997,-15.68689202915722,0.2960106661472838,-0.2809140017893933,-0.2745715265710167,,,,,,
101,289,-7.198109145490779,-15.358565287629244,0.257517610038308,-0.2256313978333298,-0.2125771429179574,,,,,,
102,291,-7.526632211351498,-15.13968079327726,0.1647617751594436,-0.1581994468554225,-0.1356764129385985,,,,,,
103,294,-9.363467605528411,-14.291850326525465,0.1577279478015402,-0.1788591778798531,-0.2650858965836315,,,,,,
104,296,-8.413171552277737,-14.383740011050929,-0.0174975035662185,-0.0071471939970956,0.0744588111126307,,,,,,
105,299,-8.135698910362402,-14.337601471804838,0.0163700256566954,-0.038152668316335,0.1807542770839288,,,,,,
106,301,-8.333374295072405,-14.24551809029602,-0.0003121127177793,-0.016043433249011,0.0042400793435617,,,,,,
107,304,-8.629887372137407,-14.107393018032791,-0.0085325712076894,-0.0150476276710527,0.1359440989882104,,,,,,
108,309,-9.45853374676748,-16.051050825374727,0.2773230943711233,-0.2572045771062146,-0.3296471406628883,,,,,,
109,311,-9.348909008426654,-15.923941612374517,0.2084960309731236,-0.1740804554058047,-0.2192832604882386,,,,,,
110,314,-9.18447190091542,-15.7332777928742,0.2450202350961617,-0.2185973065048393,-0.2577208915269087,,,,,,
111,316,-9.074847162574594,-15.606168579873987,-0.0349184399108124,0.0164214338213931,0.1512223838011417,,,,,,
112,319,-9.10551763589391,-15.90932033905129,0.218750946507191,-0.1518907623008443,-0.143815190125036,,,,,,
113,321,-10.903776475854256,-17.327826501933785,0.006766431267128,-0.0396696841633439,0.047739322350513,,,,,,
114,324,-9.959693844210191,-17.290826435502353,0.0358409059675243,-0.058719738606004,-0.030633227239034,,,,,,
115,326,-9.330305423114153,-17.266159724548068,0.3193790311626074,-0.2765253591258709,-0.3194141737480401,,,,,,
116,329,-9.03843605040278,-15.359431246399389,0.3227706441824765,-0.2695060769057826,-0.3013580339222256,,,,,,
117,331,-9.5259252078048,-15.470077726085911,0.0463740853159545,-0.0449230552920746,-0.0356484580936795,,,,,,
118,334,-9.649316805390765,-19.398860767341368,-0.0036231510912569,-0.0200943450327396,0.1596942775171224,,,,,,
119,336,-9.296219564493288,-19.28559386232861,0.0439635250921298,-0.0509832988577086,-0.0017098375924159,,,,,,
120,339,-8.766573703147069,-19.11569350480949,0.4091700834416357,-0.3607188674414651,-0.3244263285960751,,,,,,
121,341,-9.69379297002476,-17.266630277338116,0.4205629232239855,-0.3744392080644086,-0.3153442163933192,,,,,,
122,344,-9.562308171623345,-17.46463435230285,0.2665085752631203,-0.2393608075594491,-0.2154063282311982,,,,,,
123,346,-9.125023251807136,-18.1105638927615,0.2253927941451783,-0.2033174166001454,-0.2114164554703946,,,,,,
124,349,-9.666047520950292,-17.06270173924286,0.0240995757131861,-0.0484769118448077,-0.1282456534971599,,,,,,
125,351,-10.026730367045728,-16.36412697023043,0.0382101034714464,-0.0403642357170213,-0.0287302851211685,,,,,,
126,354,-8.449074654541768,-16.7853186436462,-0.0338880716396069,0.0096713386012759,0.2558515015375672,,,,,,
127,356,-9.388466390853129,-17.71000835299301,-0.0316341595821601,-0.0010239821898156,0.1524784553245398,,,,,,
128,359,-9.579968073687334,-18.010819681229975,0.1552632257683948,-0.1063139827784123,-0.0464110881462722,,,,,,
129,361,-9.301773888365863,-17.849286154793536,0.0054529610719931,-0.0262594760345612,0.0625805998142627,,,,,,
130,364,-8.884482610383657,-17.60698586513887,0.0688688571047358,-0.0376698465068038,0.0834723158026754,,,,,,
131,366,-9.161357131690297,-18.464667186745164,-0.0263033255158696,-0.0141856235565083,0.0542826965472586,,,,,,
132,369,-10.344813278144494,-17.881316216538867,0.1476332228984399,-0.095228447947789,-0.0625132380036239,,,,,,
133,371,-9.814309769120868,-17.733404283765537,0.1377646104174423,-0.1288824670844984,-0.1433509066147051,,,,,,
134,374,-9.018554505585428,-17.511536384605545,0.0153758521075744,-0.0390515817926448,-0.0004208092176003,,,,,,
135,376,-8.488050996561801,-17.363624451832216,0.0005827911806172,-0.0147716817171155,0.2112142647895364,,,,,,
136,379,-9.368579267330713,-17.218223539297497,-0.0161837607680497,-0.0392523384464921,0.1297931812044927,,,,,,
137,381,-8.665667196796074,-18.609775239733302,0.196936115242787,-0.1015043602700798,0.0354226440862214,,,,,,
138,384,-9.074350678569912,-18.61013519404158,-0.0414425845638011,0.0037280674177247,0.1265293589704861,,,,,,
139,386,-9.346806333085803,-18.610375163580425,-0.0140105755290277,-0.0275267056095168,-0.0430477155929207,,,,,,
140,389,-9.656826350881651,-17.37228988889577,-0.0135425609453115,0.04658155810353,0.193858285849255,,,,,,
141,391,-9.383754860107477,-16.067440566120656,-0.0086706156285795,-0.0201430702103709,0.1022025896386842,,,,,,
142,394,-8.65817769845935,-16.048959598309125,0.0022628080901379,-0.0350567858595407,0.0195040905138824,,,,,,
143,396,-8.449566791379624,-16.27809397689249,0.2127845911868369,-0.1406805565240726,-0.0392489297113927,,,,,,
